"Dates","SW_cum","SW","N","N_cum","E","E_cum","W","W_cum","VC1","VC1_cum"
"2014-10-06",0,0,0,0,0,0,0,0,0,0
"2014-12-17",-2.16,-0.37,-1.1,-0.75,-1.22,-0.13,5.73,6.99,1.27,5.65
"2015-01-10",6.06,1.89,0.13,-1.41,-3.48,-4.18,5.79,6.34,-5.92,-11.82
"2015-02-03",-0.21,0.51,6.48,8.8,-1.46,0.41,1.14,-0.13,-1.31,1.28
"2015-03-11",0.88,-1.69,9.29,10.71,-11.36,-12.2,-1.68,-1.07,-11.74,-13.49
"2015-04-28",-10.16,-12.19,0.8,1.38,-7.16,-6.18,-0.19,0.28,-4.22,-4.73
"2015-11-06",22.86,17.37,6.97,7.32,5.3,10.14,31.94,39,-14.49,-14.81
"2015-11-30",3.97,10.94,4.31,3.24,-3.12,-6.93,16.56,10.7,-14.64,-13.51
"2015-12-24",9.1,10.26,5.02,6.41,-5.04,-8.28,13.82,13.36,-13.86,-13.41
"2016-01-17",7.75,6.15,0.79,-3.53,-2.77,0.49,14.03,14.28,-14.13,-14.22
"2016-02-10",5.92,9.16,5.46,7.89,-1.37,-5.09,13.61,12.59,-14.6,-15.95
"2016-03-05",10.34,7.68,3.66,5.57,-0.82,4.14,14.73,17.74,-8.14,-8.73
"2016-03-29",3.82,6.09,1.06,-4.18,-4.6,-6.09,9.59,7.89,-2.8,1.15
"2016-04-22",3.62,5.98,5.81,5.45,-9.07,-12.6,5.5,2.59,-6,-5.28
"2016-05-04",-2.23,6.53,7.08,4.55,-6.85,-11.24,9.24,5.16,-9.5,-5.86
"2016-05-16",1.1,5.18,7.07,5.52,-6.15,-8,6.18,6.52,-7.4,-6.16
"2016-05-28",15.36,10.38,10.58,11.67,-3.83,0.29,13.82,17.73,-9.05,-11.28
"2016-06-09",-0.54,7.09,10.29,9.51,-3.45,-4.56,14.05,9.91,-19.33,-19.28
"2016-07-03",22.97,23.27,8.96,7.05,-1.19,-1.58,22.46,25.84,-11.54,-8.91
"2016-07-27",22.03,22.23,9.48,10.42,-2.53,-4.1,22.01,21.85,-11.59,-12.44
"2016-08-20",19.95,16.22,7.81,8.72,-3.46,-1.24,18.97,20.38,-10.27,-13.43
"2016-09-13",4.54,8.84,2.08,-0.04,-6.28,-7.84,15.87,14.92,-2.93,-1.59
"2016-10-01",6.51,8.06,2.07,2.33,-8.68,-9.85,12.43,10.9,2.11,4.01
"2016-10-25",9.46,11.73,3.69,-0.49,-4.69,-7.69,13.9,10.91,4.76,9.2
"2016-11-12",10.91,12.9,7.76,9.59,-1.01,-0.33,19.95,17.66,-6.14,-3.77
"2016-11-18",14.31,16.5,7.01,9.48,1.37,2.68,21.93,21.23,-6.84,-1.74
"2016-11-30",3.63,14.39,7.86,6.31,0.46,-4.69,23.52,13.81,-11.07,-9.68
"2016-12-06",27.3,19.53,9.61,5.12,2.59,4.44,24.62,31.95,-8.78,-12.38
"2016-12-12",24.74,18.31,7.78,11.36,1.19,5.78,24.31,39.7,-10.67,-20.73
"2016-12-18",11.8,18.12,6.39,4.93,1.84,-2.4,24.36,22.12,-11.29,-7.22
"2016-12-24",16.44,15.86,5.49,2.72,-0.84,-3.04,20.93,19,-10.46,-16.01
"2016-12-30",11.42,16.45,5.71,8.54,-0.15,-3.76,20.39,17.67,-7.59,-1.06
"2017-01-05",10.29,13.71,4.37,2.2,-0.04,2.69,19.14,17.08,-7.18,-5.67
"2017-01-11",15,14.04,4.13,-0.33,0.55,0.65,17.78,17.14,-7.36,-8.85
"2017-01-17",12.22,13.01,3.93,3.79,0.6,4.2,17.34,21.12,-4.66,-5.04
"2017-01-23",0.03,13.2,5.63,5.68,-0.62,-3.8,15.04,7.66,-3.21,10.63
"2017-01-29",5.05,11.88,4.95,1.19,-1.26,-8.55,17.59,8.36,-4.77,-7.25
"2017-02-10",17.68,12.98,4.8,7.17,-0.39,1.53,17.38,23.06,-4.34,-3.87
"2017-02-22",16.24,12.97,4.16,3.38,-1.94,-2,16.55,18.95,-5.17,-8.26
"2017-03-30",3.41,5.71,3.36,1.2,-4.73,-2.21,10.06,9.86,-1.46,-0.71
"2017-04-05",-8.04,3.79,3.66,3.45,-4.7,-5.3,13.04,2.29,-2.26,-3.75
"2017-04-11",5.1,6.86,2.38,2.48,-6.74,-11.84,10.72,11.29,-0.52,2.27
"2017-04-17",8.44,9.41,1.63,-4.3,-4.67,-3,12.1,14.4,-2.23,-2.19
"2017-04-23",5.51,9.12,3.49,6.64,-4.56,-9.83,12.84,16.95,-0.87,13.18
"2017-04-29",7.76,8.73,4.15,2.68,-5.29,-4.58,13.05,8.71,-1.62,-8.22
"2017-05-05",5.95,8.85,2.81,-1.08,-5.16,-5.35,12.81,10.71,-3.53,-5.2
"2017-05-11",10.57,9.19,3.37,3.86,-5.81,-3.62,12.33,18.15,-3.07,-3.1
"2017-05-17",11.52,8.93,2.18,3.1,-6.75,-12.58,10.25,13.74,-4.47,-6.76
"2017-05-29",7.98,9.93,5.04,5.83,-4.09,-3.8,11.5,10.03,-2.81,1.08
"2017-06-04",-6.62,-2.23,4.3,2.03,-3.46,-5.21,9.01,0.23,-5.36,-4.88
"2017-06-10",12.68,8.26,4.48,5.95,-3.88,0.65,10.17,15.38,-4.68,-8.72
"2017-06-16",-1.84,6.12,4.63,0.75,-4.14,-2.58,8.27,2.69,-5.54,-2.11
"2017-06-22",5.9,9.06,4.46,4.38,-4.3,-4.41,10.94,12.71,-6.16,-5.57
"2017-07-04",8.42,11.47,5.59,6.01,-5.93,-7.58,9.07,8.28,-2.6,-1.41
"2017-07-10",16.39,9.71,5.39,6.1,-7.42,-10.14,11.79,17.24,-5.94,-11.8
"2017-07-16",-6.42,7.1,4.56,-2.54,-7.44,-12.87,8.43,-0.54,-3.74,7.33
"2017-07-28",12.82,9.35,4.4,4.23,-8.41,-6.35,10.58,13.33,-4.08,-7.82
"2017-08-03",5.52,6.49,7.57,13.46,-6.63,-12.12,11.03,14.05,-4.32,-2.86
