"Dates","W","W_cum","SW","SW_cum","E","E_cum","N","N_cum","VC1","VC1_cum"
"2014-10-15",0,0,0,0,0,0,0,0,0,0
"2014-11-08",-0.05,-6.7,-6.1,-23,-2.41,-6.24,-0.14,-4.67,2.5,9.65
"2014-12-02",1.89,2.12,-0.02,-4.21,-2.24,-3.84,0.25,0.07,-0.43,3.38
"2014-12-26",-0.48,-5.45,5.96,3.21,-2.2,-3.9,-1.16,-2.1,-6.7,-10
"2015-01-19",1.68,-1.69,-3.76,-16.64,-1.77,-2.74,-1.25,-5.08,-5.75,1.82
"2015-02-12",5,4.88,1.36,-3.77,-3.46,-6.39,2.02,0.06,-4.72,-4.55
"2015-03-08",2.02,-3.08,7.68,2.94,-2.09,-4.14,4.52,6.19,-4.7,-2.07
"2015-04-01",8.2,3.62,0.26,-12.26,-0.32,-2.28,1.8,-2.64,-1.43,3.57
"2015-04-25",13.18,14.29,2.37,-0.74,0.82,-0.28,-0.06,-1.08,-1.08,0.69
"2015-06-12",2.69,-6.96,11.07,6.93,2.89,0.19,-1.3,-2.22,-4.21,-3.19
"2015-06-24",-4.26,4.81,-1.93,1.38,1.71,2.81,-1.89,-4.6,-2.77,-3.57
"2015-07-06",4.65,-9.6,-4.77,-23.41,2.72,-0.88,0.7,-0.8,-3.79,1.13
"2015-07-18",6.27,4.8,-0.86,-15.19,-3.71,-5.92,1.16,-2.36,-6.42,5.75
"2015-07-30",2.69,3.73,3.26,8.02,2.42,3.43,1.16,3.59,-4.29,-5.43
"2015-08-11",7.91,9.05,4.86,1.27,0.99,-2.87,1.36,0.5,-6.88,-12
"2015-08-23",13.27,6.14,8.98,-5.73,0.36,-0.56,2.29,-4.19,-9.57,-0.22
"2015-09-04",11.12,10.8,8.12,9.39,2.44,1,1.3,4.9,-7.81,-9.5
"2015-09-16",11.14,10.43,3.55,-3.84,3.09,1.76,5.15,4.59,-7.88,-3.92
"2015-09-28",3.39,5,0.9,-1.69,1.27,0.05,0.91,0.95,-7.62,-10.67
"2015-10-10",0.99,-9.69,0.68,-8.7,1.52,-0.27,-1.63,-6.19,-6.61,0.18
"2015-10-22",1.07,-2,-2.62,-7.22,2.12,1.87,-1.19,-2.06,-5.58,-3.03
"2015-11-03",2.35,1.41,-4.79,-19.97,1.95,-2.18,-1.2,-4.32,-2.99,3.61
"2015-11-27",3.98,-2.55,-1.57,-10.87,2.83,1.1,-1.69,-6.21,-12.19,-4.06
"2015-12-09",6.06,5.15,0.96,-2.99,1.93,0.95,-0.28,1.04,-16.84,-20.18
"2015-12-21",3.8,5.89,2.12,1.95,1.41,-1.06,-2.32,-3.07,-17.03,-18.55
"2016-01-14",-0.8,-6.4,-8.54,-22.28,1.24,0.78,-2.17,-5.32,-15.37,-6.28
"2016-01-26",-1.33,-13.12,-5.7,-26.56,0.6,-2.86,-4.18,-9.73,-16.72,-8.42
"2016-02-07",1,4.39,-2.22,-0.15,-0.03,-2.76,-3.83,-3.32,-17.53,-24.22
"2016-02-19",3.88,3.03,2.37,-2.55,2.83,-0.23,-0.24,2.71,-18.44,-17.27
"2016-03-02",2.26,2.16,5.49,6.36,2.09,4.23,-4.99,-6.67,-14.42,-10
"2016-03-14",4.52,-3.23,3.43,-13.38,3.31,-0.96,-5,-9.33,-16.74,-10.18
"2016-03-26",-0.31,2.45,9.41,8.51,3.5,1.87,-6.18,-10.56,-14.37,-11.18
"2016-04-07",0.62,-6.4,2.55,-9.86,3.45,1.13,-5.72,-7.96,-17.98,-15.33
"2016-04-19",1.17,3.59,7.62,9.14,5.42,5.16,-3.89,-2.55,-17.4,-21.1
"2016-05-01",-1.45,-7.24,-0.04,-12.88,3.36,1.1,-3.6,-8.69,-15.6,-13.01
"2016-05-13",-6.13,-7.36,3.52,0.97,3.82,1.77,-3.18,1.87,-9.97,-8.47
"2016-05-25",-8.09,-15.16,-0.81,-6.4,3.37,4.22,-5.59,-8.94,-5.54,-1.03
