"Dates","dN","dE","dU","Sn","Se","Su"
"2014-10-01",-0.01554,0.02414,-0.02131,0.00226,0.00276,0.00963
"2014-10-03",-0.01647,0.02283,-0.00621,0.00194,0.00245,0.00849
"2014-10-04",-0.01693,0.02739,-0.00733,0.00188,0.00235,0.00783
"2014-10-05",-0.01782,0.02813,-0.00469,0.00186,0.00241,0.00807
"2014-10-06",-0.01962,0.02464,-0.00245,0.00192,0.00246,0.00868
"2014-10-07",-0.01688,0.02867,-0.00672,0.00188,0.00223,0.00788
"2014-10-08",-0.01794,0.02804,-0.00555,0.00187,0.00217,0.00768
"2014-10-09",-0.01825,0.02603,-0.00285,0.00197,0.00233,0.00839
"2014-10-10",-0.01869,0.02857,-0.0045,0.00204,0.00245,0.00824
"2014-10-11",-0.01972,0.02642,-0.01491,0.00356,0.0043,0.01464
"2014-10-12",-0.02117,0.02799,-0.0033,0.00187,0.00222,0.00781
"2014-10-13",-0.01988,0.0294,-0.01004,0.00179,0.00206,0.00769
"2014-10-14",-0.01883,0.02942,-0.00916,0.00172,0.0021,0.00746
"2014-10-15",-0.01824,0.02584,-0.00436,0.00181,0.00214,0.00786
"2014-10-16",-0.01742,0.02976,-0.01769,0.00189,0.00211,0.00798
"2014-10-17",-0.01806,0.02925,-0.00596,0.00182,0.00218,0.00804
"2014-10-18",-0.02039,0.0273,-0.00291,0.00191,0.00241,0.00825
"2014-10-19",-0.01905,0.02871,-0.00131,0.00189,0.00215,0.0079
"2014-10-20",-0.0189,0.02827,-0.01103,0.00196,0.00224,0.00833
"2014-10-21",-0.01976,0.02958,-0.01163,0.00181,0.00216,0.00763
"2014-10-22",-0.0192,0.03115,-0.0043,0.00184,0.00234,0.00777
"2014-10-23",-0.01839,0.02824,-0.00579,0.00196,0.00219,0.0084
"2014-10-24",-0.017,0.02922,-0.00764,0.00208,0.00243,0.00892
"2014-10-25",-0.01888,0.02614,-0.00174,0.00199,0.00231,0.00879
"2014-10-26",-0.0173,0.02785,0.00036,0.00192,0.00221,0.0083
"2014-10-27",-0.018,0.03006,-0.00774,0.00199,0.00235,0.00909
"2014-10-28",-0.01861,0.02783,-0.00499,0.00197,0.00234,0.00856
